위도,경도,교차로명,노드아이디,권역코드,Y좌표,X좌표
3721.4060000000,12730.8500000000,,2370009200,,245486.0408120000,428426.7354610000
3721.3260000000,12730.8420000000,,2370009100,,245475.1427850000,428279.1946170000
3721.3000000000,12730.8700000000,,2370009000,,245513.8032270000,428229.9868590000
3720.3790000000,12731.6300000000,,2370008900,,246648.5689960000,426532.8668870000
3720.2390000000,12731.9500000000,,2370008800,,247130.0378590000,426276.5403200000
3720.0160000000,12732.3300000000,어린이보호구역                ,2370008700,,247690.2053560000,425867.8695840000
3719.5000000000,12732.2400000000,,2370008600,,247560.2067110000,424911.2197830000
3719.5610000000,12732.2500000000,,2370008500,,247577.5671820000,425024.4724200000
3720.6040000000,12731.9800000000,,2370008400,,247172.8481700000,426952.3851630000
3722.9220000000,12733.7360000000,,2370008300,,249731.1812340000,431256.4203410000
3722.7230000000,12733.7230000000,,2370008100,,249714.4492720000,430887.7001090000
3722.4500000000,12733.5600000000,,2370008000,,249476.3359290000,430381.8165320000
3722.3310000000,12733.6180000000,,2370007900,,249563.9404860000,430162.1734990000
3722.2200000000,12733.5690000000,,2370007800,,249492.3638460000,429955.4164600000
3722.2100000000,12733.5600000000,,2370007700,,249477.2079480000,429935.9504040000
3722.6810000000,12735.4200000000,,2370007600,,252224.9695900000,430823.4873990000
3722.7020000000,12735.4100000000,,2370007500,,252209.5110380000,430863.4129750000
3722.7430000000,12735.4100000000,,2370007400,,252211.6067580000,430939.3047520000
3722.7990000000,12735.4300000000,,2370007300,,252232.3194530000,431042.4162810000
3722.9900000000,12735.5200000000,,2370007200,,252368.3962690000,431397.2631650000
3723.0540000000,12735.5200000000,,2370007100,,252369.0538010000,431514.7958150000
3723.1150000000,12735.4700000000,,2370007000,,252298.5782460000,431627.6520010000
3723.1940000000,12735.4700000000,,2370006900,,252284.2077220000,431773.9772530000
3723.3110000000,12735.4700000000,,2370006800,,252290.1892550000,431989.7928090000
3723.4280000000,12735.4800000000,,2370006700,,252301.8108930000,432205.5274290000
3723.5430000000,12735.4900000000,,2370006600,,252313.5870910000,432419.5602410000
3723.6590000000,12735.5000000000,,2370006500,,252325.2681070000,432633.1484470000
3723.7870000000,12735.5380000000,,2370006400,,252376.8996510000,432871.0022520000
3723.8080000000,12735.5400000000,,2370006300,,252386.2168710000,432909.7963470000
3723.8440000000,12735.5400000000,,2370006200,,252387.7895340000,432976.4145130000
3723.8660000000,12735.5620000000,,2370006100,,252419.2078630000,433023.5093720000
3724.7760000000,12731.3160000000,금사교                        ,2370006000,,246140.0128860000,434665.2284390000
3724.8640000000,12731.3190000000,,2370005900,,246143.3961090000,434827.4750150000
3724.9570000000,12731.4590000000,,2370005800,,246349.2001400000,435001.6633620000
3724.9840000000,12731.5160000000,,2370005700,,246432.9671560000,435050.7131060000
3725.1260000000,12731.6820000000,,2370005600,,246676.1036030000,435315.3421690000
3725.2300000000,12731.6870000000,,2370005500,,246683.4461880000,435507.5403780000
3725.6970000000,12731.3880000000,,2370005400,,246236.7588290000,436368.7206870000
3725.7650000000,12731.3250000000,,2370005300,,246143.1610440000,436494.9970080000
3725.9440000000,12730.9240000000,,2370005200,,245548.3079040000,436821.0649560000
3725.9550000000,12730.8530000000,,2370005100,,245444.2871190000,436842.5022830000
3725.9900000000,12730.8210000000,,2370005000,,245397.8192930000,436906.5758940000
3720.4930000000,12729.5950000000,,2370004900,,243642.0192320000,426727.9352540000
3720.4660000000,12729.5890000000,백우리입구                    ,2300008100,,243632.8209470000,426678.7239210000
3720.6740000000,12729.6100000000,,2370004800,,243654.5341120000,427037.9865260000
3721.2100000000,12730.0560000000,,2370004700,,244316.9220760000,428061.4312710000
3721.3560000000,12729.9530000000,,2370004600,,244162.4614330000,428334.9528940000
3721.7570000000,12729.5490000000,,2370004500,,243549.8293440000,429072.1394360000
3720.7100000000,12730.7080000000,,2370004400,,245282.8245010000,427137.9482210000
3724.7220000000,12734.6180000000,,2370004300,,251012.6156000000,434592.6758160000
3724.7000000000,12734.7600000000,,2370004200,,251224.9419960000,434552.4082900000
3724.7010000000,12735.0800000000,,2370004100,,251703.8636850000,434557.3475250000
3724.7030000000,12735.1200000000,,2370004000,,251761.5483660000,434561.0403510000
3724.7010000000,12735.4500000000,,2370003900,,252241.9772270000,434561.0322570000
3724.7430000000,12735.5330000000,,2370003800,,252362.1949020000,434639.9480510000
3724.7900000000,12735.6870000000,,2370003700,,252589.6195840000,434729.0086440000
3724.8110000000,12735.8000000000,,2370003600,,252766.5829830000,434767.3362510000
3724.8160000000,12735.8700000000,,2370003500,,252858.2925440000,434778.0953020000
3724.8620000000,12736.3900000000,,2370003400,,253632.7202950000,434868.0844580000
3724.8970000000,12736.4700000000,,2370003300,,253750.6647710000,434933.8587350000
3725.7880000000,12733.1200000000,,2400010600,,248788.3220800000,436551.4653380000
3725.7040000000,12732.6700000000,,2400010500,,248129.1030860000,436391.6392660000
3725.6660000000,12732.3000000000,(개군면복지회관앞)            ,2400010400,,247576.3209380000,436327.4318910000
3725.4650000000,12732.3280000000,,2400010300,,247622.6937610000,435990.4259610000
3725.4640000000,12732.3070000000,,2400010200,,247583.5760510000,435980.6929540000
3725.4210000000,12732.3210000000,,2400010100,,247593.3781800000,435941.4382160000
3725.3620000000,12732.3400000000,,2400010000,,247643.0864870000,435755.3225670000
3725.7380000000,12732.2500000000,대승건설 앞                   ,2400009900,,247498.6216390000,436440.5640430000
3725.6190000000,12732.2560000000,,2400009800,,247517.4522760000,436223.8663320000
3726.1340000000,12732.1320000000,양덕입구                      ,2400009700,,247327.8532990000,437186.2606700000
3726.8730000000,12732.2400000000,부대앞                        ,2400009600,,247480.7306090000,438551.4759670000
3727.6450000000,12731.7300000000,,2400009500,,246723.3863250000,439974.1403400000
3727.4800000000,12731.2770000000,,2400009400,,246046.1600870000,439666.4998450000
3726.8220000000,12730.7370000000,,2400009300,,245263.2304600000,438445.9767160000
3726.6820000000,12730.5160000000,,2400009200,,244930.9464640000,438184.7636540000
3726.6340000000,12730.5430000000,,2400009100,,244973.9925350000,438092.8454320000
3726.5520000000,12730.5830000000,,2400009000,,245033.5317870000,437943.2802830000
3726.5150000000,12730.6710000000,,2400008900,,245209.9971930000,437907.2830000000
3726.5810000000,12730.8070000000,(석장초등학교입구)            ,2400008800,,245368.4073310000,437996.2186890000
3727.7860000000,12730.3700000000,,2400008700,,244711.7103930000,440223.0968260000
3728.2680000000,12730.4090000000,,2400008600,,244768.1232110000,441114.6051710000
3728.3080000000,12730.3750000000,,2400008500,,244711.9014420000,441190.4391860000
3728.7960000000,12730.0530000000,,2400008400,,244241.2034310000,442093.1467400000
3728.9240000000,12729.0850000000,,2400008300,,242808.3027480000,442321.2610630000
3728.6300000000,12729.1800000000,,2400008200,,242951.9009310000,441776.3366880000
3728.5350000000,12729.1470000000,,2400008100,,242903.5638030000,441602.1551030000
3728.1190000000,12729.1210000000,,2400008000,,242869.8920830000,440831.3488790000
3727.7290000000,12728.6300000000,,2400007900,,242155.6470540000,440105.8682020000
3727.9270000000,12728.4110000000,,2400007800,,241879.0464210000,440420.8416220000
3728.0580000000,12728.4990000000,,2400007700,,241944.3773630000,440713.3473810000
3728.5630000000,12729.1260000000,,2400007600,,242872.5292450000,441653.7279160000
3727.0010000000,12729.3900000000,,2400007500,,243285.3543130000,438764.6101340000
3726.8930000000,12729.2950000000,,2400007400,,243137.4866410000,438565.3595840000
3726.5110000000,12729.4090000000,(세월교앞)                    ,2400007300,,243309.3693260000,437859.5702450000
3726.5000000000,12729.4640000000,(세월대석보건진료소앞)        ,2400007200,,243391.2284570000,437839.2292660000
3726.1940000000,12729.6530000000,,2400007100,,243672.7682300000,437274.3429010000
3726.2450000000,12730.2340000000,,2400007000,,244529.9042680000,437375.2563550000
3726.1680000000,12730.4420000000,,2370003200,,244836.3887150000,437233.0822490000
3726.1230000000,12730.5790000000,,2370003100,,245038.5156040000,437150.2229020000
3726.0540000000,12730.6910000000,,2370003000,,245205.4011240000,437023.3175440000
3728.9650000000,12729.0200000000,,2400006900,,242719.4770990000,442393.6389610000
3729.3180000000,12728.6560000000,,2400006800,,242172.3604330000,443046.4447200000
3729.6220000000,12727.6150000000,,2400006700,,240635.6883410000,443600.8972450000
3729.0880000000,12727.5450000000,,2400006600,,240537.4542100000,442611.8243430000
3729.0390000000,12727.5390000000,,2400006500,,240528.3103100000,442522.5451850000
3728.9610000000,12727.5600000000,,2400006400,,240570.1521060000,442375.7097870000
3728.2930000000,12727.9900000000,,2400006300,,241208.0694110000,441144.3438450000
3728.5140000000,12728.1200000000,,2400006200,,241399.0144820000,441553.4106840000
3728.7180000000,12728.4000000000,,2400006100,,241799.6811260000,441933.6827320000
3728.7600000000,12728.5100000000,,2400006000,,241969.9322300000,442010.7782450000
3726.0260000000,12729.4590000000,,2400005900,,243387.6104480000,436963.6647430000
3725.4930000000,12728.5970000000,,2400005800,,242120.2591390000,435966.2034670000
3725.3690000000,12728.3290000000,,2370002900,,241725.1216930000,435735.5078750000
3725.3390000000,12728.2900000000,,2370002800,,241668.4623920000,435681.0825070000
3725.1680000000,12728.0190000000,,2370002700,,241271.6505350000,435363.5735320000
3725.1650000000,12728.0030000000,,2370002600,,241244.6427240000,435354.4032990000
3725.1750000000,12727.7890000000,,2370002500,,240929.0733660000,435371.2088860000
3725.1830000000,12727.6770000000,,2370002400,,240761.5647390000,435386.5822780000
3725.0600000000,12727.5460000000,,2370002300,,240572.4591970000,435160.2055200000
3725.0380000000,12727.4220000000,백자교                        ,2370002200,,240388.1811290000,435115.7062960000
3731.7360000000,12722.1020000000,용담대교                      ,2400005700,,232494.8693500000,447475.0224570000
3731.5360000000,12722.2800000000,월계마을입구                  ,2400005600,,232759.7248900000,447105.3333320000
3731.3700000000,12722.4040000000,신원교                        ,2400005500,,232942.8524240000,446799.7168770000
3730.3450000000,12726.2000000000,,2400005400,,238553.0368790000,444926.7701720000
3729.9160000000,12724.9300000000,,2400005300,,236675.5727970000,444126.7050940000
3729.7210000000,12724.3540000000,,2400005200,,235813.1226400000,443753.4079300000
3729.5650000000,12723.9500000000,,2400005100,,235234.5932960000,443469.2259450000
3729.4690000000,12723.8700000000,,2400005000,,235117.7477760000,443293.6732620000
3729.2510000000,12723.7700000000,,2400004900,,234972.0034390000,442887.6568490000
3728.9050000000,12723.8880000000,,2400004800,,235148.4938760000,442249.9625240000
3728.6970000000,12723.8470000000,,2400004700,,235088.4654630000,441865.4378490000
3728.5000000000,12723.8250000000,,2400004600,,235057.6958840000,441499.5626560000
3728.2780000000,12723.8240000000,,2400004500,,235058.9861090000,441088.6970710000
3728.1190000000,12723.8260000000,,2400004400,,235062.4053680000,440795.5093390000
3728.0740000000,12723.8530000000,,2400004300,,235102.2296780000,440711.2588000000
3727.7290000000,12723.6620000000,,2400004200,,234824.2333750000,440073.4406240000
3727.5180000000,12723.5480000000,,2400004100,,234657.1839950000,439681.0631680000
3727.2050000000,12723.8210000000,,2400004000,,235062.8731500000,439105.1594560000
3727.0130000000,12723.9420000000,(항금리입구)                  ,2400003900,,235242.9628240000,438750.9236620000
3726.8140000000,12724.3640000000,,2400003800,,235865.5871440000,438384.3481170000
3726.8750000000,12724.6900000000,,2400003700,,236343.9357700000,438497.7041170000
3727.3580000000,12725.0060000000,,2400003600,,236808.8503420000,439395.4037400000
3727.4340000000,12725.0030000000,,2400003500,,236803.3278110000,439535.8551530000
3727.6350000000,12724.9750000000,,2400003400,,236760.0431030000,439907.8051210000
3728.2410000000,12725.1880000000,,2400003300,,237069.6029710000,441029.0405320000
3728.2420000000,12725.0870000000,,2400003200,,236921.0938830000,441029.9645460000
3728.2150000000,12724.9920000000,,2400003100,,236781.4861400000,440980.5077310000
3728.2320000000,12724.9760000000,,2400003000,,236756.8966090000,441011.5780560000
3728.3670000000,12725.0110000000,,2400002900,,236807.8397900000,441262.3374840000
3728.4830000000,12725.0600000000,,2400002800,,236878.4101330000,441476.9913190000
3728.5480000000,12725.0820000000,,2400002700,,236911.2363250000,441596.2823240000
3728.8770000000,12725.0820000000,성덕교                        ,2400002600,,236907.6296580000,442205.1078210000
3729.1120000000,12725.0170000000,,2400002500,,236811.1513050000,442639.8114290000
3729.1410000000,12725.0210000000,,2400002400,,236815.7598240000,442693.2101440000
3729.2320000000,12725.0660000000,,2400002300,,236881.8820600000,442862.7235120000
3729.2690000000,12725.0670000000,,2400002200,,236882.2828010000,442931.1500080000
3729.6000000000,12725.0280000000,,2400002100,,236822.9180730000,443543.1120180000
3729.6290000000,12725.0190000000,,2400002000,,236757.9864690000,443587.5069350000
3729.8510000000,12724.9110000000,,2400001900,,236412.6187860000,443880.0665620000
3729.8610000000,12724.6630000000,(강하면사무소앞)              ,2400001800,,236644.9456800000,444004.2006320000
3726.8340000000,12723.9640000000,,2400001700,,235276.3831780000,438419.2269460000
3726.7640000000,12724.0170000000,,2400001600,,235354.5681260000,438289.9318420000
3726.7320000000,12724.0150000000,,2400001500,,235352.6606140000,438230.4583460000
3729.1590000000,12723.5590000000,,2400001400,,234661.7108970000,442716.7640250000
3728.4520000000,12720.5240000000,,2340046500,,230191.3143930000,441391.5787490000
3730.3740000000,12722.4850000000,,2340046400,,233068.3062020000,444958.9042310000
3730.3560000000,12722.4470000000,,2340046300,,233012.7019960000,444924.6309480000
3731.4040000000,12721.9830000000,,2340046200,,232322.1924660000,446860.4010640000
3731.4660000000,12721.9100000000,,2340046100,,232218.4409490000,446973.0955770000
3731.0920000000,12719.1500000000,,2340046000,,228157.4994360000,446267.5675330000
3731.0460000000,12719.1800000000,,2340045900,,228193.5239440000,446181.8185080000
3729.7190000000,12718.0700000000,,2340045800,,226567.1601500000,443722.0082150000
3729.3000000000,12718.3800000000,금사교                        ,2340045700,,227031.9158340000,442949.4022160000
3728.6500000000,12718.2700000000,,2340045600,,226872.1632600000,441745.7594030000
3728.3810000000,12718.4200000000,오리교                        ,2340045500,,227089.8308740000,441248.8996890000
3728.3270000000,12718.4500000000,,2340045400,,227138.4494660000,441149.7921780000
3728.2320000000,12718.4280000000,,2340045300,,227102.5650950000,440974.4762170000
3728.2280000000,12718.5800000000,,2340045200,,227328.3963930000,440967.4108290000
3727.8900000000,12719.4540000000,도수2교                       ,2340045100,,228618.2802270000,440346.7612050000
3727.9100000000,12719.4260000000,도수2교                       ,2340045000,,228576.4468410000,440383.3376110000
3727.9420000000,12719.3800000000,,2340044900,,228508.1642640000,440443.1741170000
3728.2340000000,12719.0580000000,,2340044800,,228032.3503760000,440981.7485710000
3728.2870000000,12718.9160000000,도수초교사거리                ,2340044700,,227822.2714820000,441079.2185730000
3728.2240000000,12718.6650000000,,2340044600,,227452.6871770000,440960.4915980000
3728.2460000000,12718.1700000000,,2340044500,,226722.6637670000,440999.5657000000
3728.1280000000,12716.5810000000,,2340044400,,224362.4889420000,440765.3494420000
3728.1010000000,12716.4570000000,,2340044200,,224197.0584840000,440724.2213200000
3728.0970000000,12716.4240000000,,2340044100,,224151.0804590000,440713.4366180000
3728.0940000000,12716.3720000000,,2340044000,,224072.4813160000,440709.9240180000
3728.3800000000,12716.5200000000,,2340043900,,224287.9973080000,441237.5911930000
3728.7130000000,12716.7900000000,,2340043800,,224695.8024690000,441854.9278890000
3728.7820000000,12716.8200000000,,2340043700,,224729.6669120000,441984.1902510000
