출발정류장,도착정류장,BMS_GIS거리(m),BMS_확정거리(m),KTDB_최단거리(m),확정거리대비_차이(m),GIS거리대비_차이(m),확정거리대비_오차율(%),GIS거리대비_오차율(%)
성락교회,도림마을금고,456.0,460.0,635.63,175.63,179.63,38.18,39.39
도림마을금고,문래우체국.문래예술공단,813.0,810.0,1350.86,540.86,537.86,66.77,66.16
