출발정류장	도착정류장	BMS_GIS거리(m)	BMS_확정거리(m)	KTDB_최단거리(m)	확정거리대비_차이(m)	GIS거리대비_차이(m)	확정거리대비_오차율(%)	GIS거리대비_오차율(%)
성락교회	도림마을금고	456	460	756.09	296.09	300.09	64.37	65.81
도림마을금고	문래우체국.문래예술공단	813	810	1358.61	548.61	545.61	67.73	67.11
